source_id,spec_class,is_host,teff_gspphot,logg_gspphot,radius_gspphot,model_name,model_score,rf_positive_proba,rf_predicted_is_host
3732535246915226368,F,False,6282.678,4.5763,0.7593,baseline_random_forest,0.007716731059675471,0.007716731059675471,False
3736329562759590016,F,False,6194.8706,4.1598,1.2178,baseline_random_forest,0.1384664858565908,0.1384664858565908,False
3740380472833279616,F,False,6171.8657,4.2905,1.1503,baseline_random_forest,0.16430153342504927,0.16430153342504927,False
374245480030993664,F,False,6781.582,4.1789,1.4704,baseline_random_forest,0.017956826043927312,0.017956826043927312,False
377231238216192640,F,False,6160.5425,4.4807,0.8683,baseline_random_forest,0.012526595100373792,0.012526595100373792,False
3789243555550651776,F,False,6282.5474,4.679,0.6784,baseline_random_forest,0.003678081402052347,0.003678081402052347,False
382427289650450176,F,False,6360.8716,4.4276,1.089,baseline_random_forest,0.004444475683071632,0.004444475683071632,False
38253388216830208,F,False,6108.746,4.3773,0.9273,baseline_random_forest,0.04881730829632606,0.04881730829632606,False
383596933800887552,F,False,6813.4204,4.1777,1.4894,baseline_random_forest,0.028621243301853797,0.028621243301853797,False
383727706965023104,F,False,6078.0244,4.0884,1.5138,baseline_random_forest,0.5757886665257308,0.5757886665257308,True
3838308716479523200,F,False,6091.56,4.7106,0.6355,baseline_random_forest,0.0,0.0,False
3849196626078492800,F,False,6004.709,4.4658,1.0308,baseline_random_forest,0.30114531206986894,0.30114531206986894,False
3853113876770015232,F,False,6076.5835,4.6341,0.6839,baseline_random_forest,0.0,0.0,False
3882136074596363264,F,False,6332.8545,4.4917,0.8587,baseline_random_forest,0.033296657304210366,0.033296657304210366,False
3895140337920152832,F,False,6119.6416,4.6917,0.6538,baseline_random_forest,0.0,0.0,False
3907992224394950528,F,False,6181.3364,4.4791,0.8038,baseline_random_forest,0.01991044503785743,0.01991044503785743,False
392621484725018496,F,False,6283.6025,4.1427,1.4459,baseline_random_forest,0.44184684250976913,0.44184684250976913,False
393304521963603584,F,False,6356.6616,4.4699,0.8591,baseline_random_forest,0.03813641371536325,0.03813641371536325,False
3959793992454943360,F,False,6211.496,4.6914,0.6616,baseline_random_forest,0.0027964205816554807,0.0027964205816554807,False
396643631399984896,F,False,6325.537,4.2682,1.1923,baseline_random_forest,0.11854962393560309,0.11854962393560309,False
3996519467529244160,F,False,6456.5415,4.549,0.8631,baseline_random_forest,0.12690555868862397,0.12690555868862397,False
400534876067022848,F,False,6635.9556,4.2516,1.2965,baseline_random_forest,0.01601174616600909,0.01601174616600909,False
4013537261827344512,F,False,6035.5674,4.7135,0.6305,baseline_random_forest,0.0,0.0,False
403475794794593280,F,False,6330.157,4.1422,1.4147,baseline_random_forest,0.20737617263336583,0.20737617263336583,False
4035720974070442368,F,False,6285.78,4.0279,1.6134,baseline_random_forest,0.3697499479551846,0.3697499479551846,False
4038627296852145152,F,False,6386.414,4.2905,1.0176,baseline_random_forest,0.012262986371304602,0.012262986371304602,False
