source_id,spec_class,evolution_stage,teff_gspphot,logg_gspphot,radius_gspphot,router_label
5781011927285004288,M,dwarf,3730.0356,4.867,0.389,M_dwarf
4108181401687211520,M,dwarf,3887.419,4.4981,0.5616,M_dwarf
4143982668516661248,M,dwarf,3973.6033,4.734,0.5182,M_dwarf
4318119231314729472,M,dwarf,3828.2512,4.8293,0.4284,M_dwarf
6424544297630895488,M,dwarf,3809.7283,4.3532,0.9193,M_dwarf
3346749709456338560,M,dwarf,3663.689,4.7291,0.5282,M_dwarf
2275995529127437952,M,dwarf,3196.5505,5.0454,0.2261,M_dwarf
4063721274625076992,M,dwarf,3673.255,4.3585,0.7068,M_dwarf
6465144486041315968,M,dwarf,3608.6592,4.5619,0.3061,M_dwarf
5490700179915505792,M,dwarf,3852.9976,4.8871,0.3792,M_dwarf
5156359550270224000,M,dwarf,3683.9097,4.7596,0.4853,M_dwarf
5882455657557369600,M,dwarf,3871.7437,4.5295,0.3808,M_dwarf
5312647908325052416,M,dwarf,3861.2812,4.8785,0.3868,M_dwarf
541274524788733568,M,dwarf,3723.0552,4.4734,0.3368,M_dwarf
4091494530375175040,M,dwarf,3548.9614,4.7169,0.3485,M_dwarf
2836389392892781440,M,dwarf,3667.011,4.3877,0.8442,M_dwarf
5374295742882902400,M,dwarf,3796.656,4.6215,0.3454,M_dwarf
3115266605884557696,M,dwarf,3895.3555,4.6721,0.531,M_dwarf
2056854237421808768,M,dwarf,3713.7876,4.0539,0.8121,M_dwarf
5817473553926807424,M,dwarf,3438.661,4.6202,0.4096,M_dwarf
4119210504099314304,M,dwarf,3525.6199,4.6109,0.3576,M_dwarf
5887892089706799104,M,dwarf,3831.7183,5.0206,0.262,M_dwarf
4254153256915271552,M,dwarf,3922.8242,5.0033,0.2821,M_dwarf
5965737027582947584,M,dwarf,3861.0183,4.8133,0.439,M_dwarf
4941571152079580672,M,dwarf,3350.7788,4.9458,0.3165,M_dwarf
5980609816505884672,M,dwarf,3727.4646,4.4145,0.4888,M_dwarf
3125014012684556288,M,dwarf,3300.5488,4.843,0.2682,M_dwarf
5836266028739708032,M,dwarf,3680.6711,4.4353,0.3175,M_dwarf
4590233142120018560,M,dwarf,3469.358,4.5352,0.5158,M_dwarf
6662472704008995456,M,dwarf,3620.629,4.6653,0.451,M_dwarf
174095056235443328,M,dwarf,3761.1382,4.9089,0.3555,M_dwarf
4043102957877250304,M,dwarf,3919.7222,5.003,0.2626,M_dwarf
5189252329673532032,M,dwarf,3606.2253,4.411,0.5153,M_dwarf
4319198711213747328,M,dwarf,3703.8374,4.0465,1.0892,M_dwarf
4151961515163067008,M,dwarf,3714.587,4.4465,0.5135,M_dwarf
4260551138947970816,M,dwarf,3699.4988,4.2647,0.4002,M_dwarf
2034264942824394112,M,dwarf,3771.4597,4.8898,0.3735,M_dwarf
4059025535346101376,M,dwarf,3699.377,4.0453,0.7716,M_dwarf
1272804044819090816,M,dwarf,3761.1135,4.5684,0.6482,M_dwarf
5938343348210584576,M,dwarf,3864.4133,4.8354,0.4157,M_dwarf
4108667969942144512,M,dwarf,3698.2256,4.2853,0.3818,M_dwarf
5368940601563148032,M,dwarf,3505.6406,4.6063,0.3327,M_dwarf
4375772501470583680,M,dwarf,3552.4175,4.5786,0.4851,M_dwarf
4070489662055544576,M,dwarf,3976.7065,4.1105,1.1118,M_dwarf
4212102606491349760,M,dwarf,3903.7385,4.6302,0.4873,M_dwarf
5611238742022513280,M,dwarf,3245.011,4.8851,0.3594,M_dwarf
5368770589573131648,M,dwarf,3565.044,5.0114,0.2668,M_dwarf
4254663391620307456,M,dwarf,3966.0671,4.7969,0.4552,M_dwarf
4094597077307549440,M,dwarf,3631.8328,4.4877,0.4089,M_dwarf
273203213298262528,M,dwarf,3999.812,4.913,0.3685,M_dwarf
6067612140012093056,M,dwarf,3521.6235,4.76,0.4347,M_dwarf
6066591174746558720,M,dwarf,3514.7825,4.0398,0.5291,M_dwarf
2197819668278934016,M,dwarf,3723.5703,4.4232,0.4887,M_dwarf
2041721457028070272,M,dwarf,3997.2415,4.7891,0.4433,M_dwarf
4212302060454805760,M,dwarf,3649.701,4.4782,0.4561,M_dwarf
3027154355368823040,M,dwarf,3950.1614,4.8845,0.3795,M_dwarf
4925356516665949824,M,dwarf,3444.1472,4.5573,0.3511,M_dwarf
937619776220755968,M,dwarf,3567.9358,4.5059,0.489,M_dwarf
5420868096196540416,M,dwarf,3472.662,4.784,0.3219,M_dwarf
2227626638235136768,M,dwarf,3920.443,4.926,0.3452,M_dwarf
5996720921651325312,M,dwarf,3756.194,4.9096,0.3564,M_dwarf
1753878108966530560,M,dwarf,3622.0762,4.426,0.4821,M_dwarf
5963514880223427200,M,dwarf,3727.1228,4.245,0.9631,M_dwarf
5259087879434842880,M,dwarf,3895.4539,4.7396,0.2335,M_dwarf
6671721761459261312,M,dwarf,3556.3708,4.6669,0.3949,M_dwarf
187362759969833472,M,dwarf,3597.44,4.5973,0.2883,M_dwarf
4547978635382633088,M,dwarf,3441.1309,4.6203,0.4033,M_dwarf
4352012162570770176,M,dwarf,3769.334,4.7419,0.5019,M_dwarf
2033644719520068736,M,dwarf,3838.0425,4.9025,0.3664,M_dwarf
5773293733615706240,M,dwarf,3778.3213,4.3421,0.9393,M_dwarf
5955434981587323904,M,dwarf,3579.065,4.4311,0.3087,M_dwarf
490083840380349440,M,dwarf,3983.994,4.9345,0.3436,M_dwarf
412020305820668672,M,dwarf,3957.072,4.8366,0.4252,M_dwarf
2189358690087050880,M,dwarf,3676.0227,4.4839,0.4768,M_dwarf
4485999194991870976,M,dwarf,3701.3008,4.8762,0.3827,M_dwarf
4161462880493667328,M,dwarf,3699.0195,4.6918,0.3092,M_dwarf
6027905102959581440,M,dwarf,3975.7722,4.5575,0.3357,M_dwarf
1980996357549413120,M,dwarf,3842.761,4.8873,0.3764,M_dwarf
198073862945089664,M,dwarf,3452.1223,4.6416,0.27,M_dwarf
