source_id,predicted_spec_class,predicted_evolution_stage,gauss_label,router_similarity,router_log_posterior,posterior_margin,host_log_lr,host_posterior,class_prior,distance_factor,quality_factor,metallicity_factor,final_score,priority_tier,reason_code,ra,dec,teff_gspphot,logg_gspphot,radius_gspphot,mh_gspphot,parallax,parallax_over_error,ruwe
4599710073355218048,G,dwarf,G,0.35212217370462984,3.9990829821632565,1.0156029773881121,1.7379891244892196,0.8504314667539457,1.05,0.9,0.98,1.03,0.811212118801654,HIGH,HOST_SCORING,259.35303,30.411314,5739.883,4.3115,1.2476,0.3357,7.205622,560.11884,1.1018548
5738867135490383488,K,dwarf,K,0.38789302034803375,3.8853515798500387,1.0374246154794253,2.7167099441549496,0.938005488547659,1.08,0.8,1.0,1.0,0.8104367421051775,HIGH,HOST_SCORING,139.93602,-12.341643,5046.9517,4.504,0.8676,0.1288,2.3158517,136.2332,0.9701453
1605688508752375680,K,dwarf,K,0.3942942529032277,3.9505217305115505,1.405851921584607,2.7159324339458792,0.9379602600017358,1.08,0.8,1.0,1.0,0.8103976646414998,HIGH,HOST_SCORING,222.39372,52.41747,5023.2217,4.4997,0.8688,0.0819,2.086768,151.28316,1.0723792
1814700442218702592,K,dwarf,K,0.39412223550488407,3.9488206742389154,1.6632032555314593,2.715229950014753,0.9379193693135591,1.08,0.8,1.0,1.0,0.8103623350869151,HIGH,HOST_SCORING,311.39392,20.562454,5006.766,4.4917,0.8809,0.0776,3.1215537,220.5881,0.947388
5276948556769561472,K,dwarf,K,0.379487107773241,3.79360728866391,0.5677269862265009,2.7114146583674845,0.9376968462343773,1.08,0.8,1.0,1.0,0.8101700751465022,HIGH,HOST_SCORING,126.2935,-62.89611,5080.9316,4.5014,0.856,-0.0489,3.1126227,307.07547,1.0422968
4764664855067819904,K,dwarf,K,0.5065838532520296,4.656096879191885,4.075196152816343,2.299617785295173,0.9088453791814214,1.08,0.8,1.0,1.03,0.8087996798411307,HIGH,HOST_SCORING,74.61975,-55.27491,4852.9717,4.5672,0.7825,0.2971,3.7210448,376.89832,1.0496314
1524278262649605760,K,dwarf,K,0.4203922266252792,4.1799920437670615,3.7117355463302206,2.5437109502738746,0.9271498728937728,1.08,0.8,0.98,1.03,0.8085874305879139,HIGH,HOST_SCORING,195.69315,40.1922,4879.0464,4.495,0.8938,0.3448,2.2951095,137.77864,1.1415507
5314942490311418112,K,dwarf,K,0.39206268562435065,3.928241942967422,0.9379914417823141,2.6734792009466544,0.9354434554283363,1.08,0.8,1.0,1.0,0.8082231454900827,HIGH,HOST_SCORING,128.82349,-57.756996,5053.284,4.5156,0.851,0.141,3.501214,321.4582,0.9880029
4236052237472284288,K,dwarf,K,0.3758848467462421,3.751995351633394,0.2744354784237437,2.6683818635787997,0.9351349482414466,1.08,0.8,1.0,1.0,0.80795659528061,HIGH,HOST_SCORING,300.26465,-0.75970525,5101.923,4.5066,0.843,-0.1064,2.1895509,115.37071,0.99085337
6504639875719511424,K,dwarf,K,0.4970049714180173,4.618316620588637,7.655363130902076,2.2759852942471293,0.9068685262686973,1.08,0.8,1.0,1.03,0.8070404388970391,HIGH,HOST_SCORING,336.54214,-57.486454,4665.412,4.535,0.8219,0.3341,2.047509,107.37666,1.0089577
4044167770361461504,K,dwarf,K,0.43430848225631846,4.282174278750492,2.959384901126945,2.6147638737736445,0.9318057343683832,1.08,0.8,1.0,1.0,0.8050801544942833,HIGH,HOST_SCORING,269.55875,-30.864626,4927.244,4.5055,0.8435,-0.0533,2.5961146,74.31804,1.0805255
3228601687490384256,K,dwarf,K,0.3858969340006449,3.864219486169834,0.6693528134769293,2.5813712545974403,0.9296529996784714,1.08,0.8,1.0,1.0,0.8032201917221994,HIGH,HOST_SCORING,75.70516,0.55094343,5076.596,4.5038,0.8279,-0.2993,2.1428494,110.52296,0.9926848
