observation_priority,rank_in_priority,source_id,ra,dec,predicted_spec_class,predicted_evolution_stage,host_like_percent,host_like_profile,final_score,reason_code
2,5,1935914972047259008,343.42792,45.46305,M,dwarf,84.56,M_EARLY,0.5893725123791652,HOST_SCORING
2,6,361062065031129984,13.014249,32.46119,M,dwarf,75.2,M_EARLY,0.5857821482433512,HOST_SCORING
2,7,2060001318901815936,301.62762,36.84546,M,dwarf,88.65,M_EARLY,0.5474180144064656,HOST_SCORING
2,8,354496361411842304,36.2249,48.51019,M,dwarf,87.25,M_EARLY,0.5387696238795733,HOST_SCORING
2,9,320885566554939520,18.397654,34.46691,M,dwarf,86.54,M_EARLY,0.5343708152759061,HOST_SCORING
2,10,1957857474630037248,336.4497,42.564396,M,dwarf,86.5,M_EARLY,0.5341553669583138,HOST_SCORING
2,11,1850188146373235456,321.48022,29.870817,M,dwarf,85.25,M_EARLY,0.5264392997887943,HOST_SCORING
2,12,1921255114792487936,357.72995,41.02769,M,dwarf,85.2,M_EARLY,0.5261139248148009,HOST_SCORING
2,13,1409931488606732288,245.46446,46.19998,M,dwarf,84.86,M_EARLY,0.5240094572799529,HOST_SCORING
2,14,1851790203535964416,319.86862,30.095783,M,dwarf,84.19,M_EARLY,0.5198805572705958,HOST_SCORING
2,15,1716185579052348672,192.59145,76.67167,M,dwarf,84.19,M_EARLY,0.5198442853778816,HOST_SCORING
2,16,1887758355614486144,343.05142,29.970211,M,dwarf,87.23,M_EARLY,0.5170803613580167,HOST_SCORING
2,17,1384966222400336896,242.2513,42.834198,M,dwarf,87.11,M_EARLY,0.5163639655930302,HOST_SCORING
2,18,654454545197500800,118.68119,14.263876,M,dwarf,87.09,M_EARLY,0.5162641309222509,HOST_SCORING
2,19,1356449525044465024,250.96739,41.46136,M,dwarf,86.92,M_EARLY,0.5152502221867471,HOST_SCORING
2,20,918842733254821120,118.25124,36.596092,M,dwarf,86.75,M_EARLY,0.5142692530282453,HOST_SCORING
2,21,1108705503489768832,114.145134,69.7501,M,dwarf,86.74,M_EARLY,0.5141816365165238,HOST_SCORING
2,22,1163034743840287744,232.11272,8.13552,M,dwarf,86.49,M_EARLY,0.5127070618740006,HOST_SCORING
2,23,313687781187832832,18.060719,32.37461,M,dwarf,86.49,M_EARLY,0.5126951141913564,HOST_SCORING
2,24,1353206000102219008,253.22244,40.668213,M,dwarf,86.41,M_EARLY,0.5122295251840955,HOST_SCORING
2,25,189223275378996224,84.01375,36.1604,M,dwarf,82.4,M_EARLY,0.5088046629076546,HOST_SCORING
2,26,1125633039051464448,132.68866,76.44555,M,dwarf,85.51,M_EARLY,0.5069153603515614,HOST_SCORING
2,27,309107151321457280,21.634956,29.314323,M,dwarf,88.81,M_EARLY,0.5045491857286448,HOST_SCORING
2,28,441969868684281344,53.593094,50.36501,M,dwarf,64.52,M_EARLY,0.5025952245941411,HOST_SCORING
